2025-10-30 19:52:05,677 | DEBUG | apps.http | req=4e8d0641eaa3 user=- room=- | HTTP GET /api/rooms/3/
2025-10-30 19:52:05,751 | INFO | apps.http | req=4e8d0641eaa3 user=- room=- | HTTP GET /api/rooms/3/ -> 200 (73 ms)
2025-10-30 19:52:05,760 | DEBUG | apps.http | req=22465d5e97c3 user=- room=- | HTTP GET /api/rooms/3/
2025-10-30 19:52:05,773 | INFO | apps.http | req=22465d5e97c3 user=- room=- | HTTP GET /api/rooms/3/ -> 200 (13 ms)
2025-10-30 19:52:05,801 | DEBUG | apps.http | req=b48e6e3680a0 user=- room=- | HTTP GET /api/rooms/3/messages/
2025-10-30 19:52:05,823 | INFO | apps.http | req=b48e6e3680a0 user=- room=- | HTTP GET /api/rooms/3/messages/ -> 200 (22 ms)
2025-10-30 19:52:05,829 | DEBUG | apps.http | req=ad1a762426ac user=- room=- | HTTP GET /api/rooms/3/messages/
2025-10-30 19:52:05,843 | INFO | apps.http | req=ad1a762426ac user=- room=- | HTTP GET /api/rooms/3/messages/ -> 200 (13 ms)
2025-10-31 23:34:56,908 | DEBUG | apps.http | req=c00c4339aac6 user=- room=- | HTTP POST /auth/login/
2025-10-31 23:34:57,370 | INFO | apps.http | req=c00c4339aac6 user=- room=- | HTTP POST /auth/login/ -> 401 (462 ms)
2025-10-31 23:34:57,794 | DEBUG | apps.http | req=ef3e9a54b4c5 user=- room=- | HTTP POST /auth/login/
2025-10-31 23:34:58,183 | INFO | apps.http | req=ef3e9a54b4c5 user=- room=- | HTTP POST /auth/login/ -> 401 (389 ms)
2025-10-31 23:34:58,584 | DEBUG | apps.http | req=2d7a1131993a user=- room=- | HTTP POST /auth/login/
2025-10-31 23:34:58,976 | INFO | apps.http | req=2d7a1131993a user=- room=- | HTTP POST /auth/login/ -> 401 (392 ms)
2025-10-31 23:34:59,399 | DEBUG | apps.http | req=70f5aa3ce7a3 user=- room=- | HTTP POST /auth/login/
2025-10-31 23:35:00,283 | INFO | apps.http | req=70f5aa3ce7a3 user=- room=- | HTTP POST /auth/login/ -> 200 (884 ms)
2025-10-31 23:35:00,677 | DEBUG | apps.http | req=52690c144d06 user=- room=- | HTTP POST /auth/logout/
2025-10-31 23:35:00,678 | INFO | apps.users | req=52690c144d06 user=- room=- | AUTH logout user_id=1
2025-10-31 23:35:00,678 | INFO | apps.http | req=52690c144d06 user=- room=- | HTTP POST /auth/logout/ -> 200 (0 ms)
2025-10-31 23:35:01,070 | DEBUG | apps.http | req=9df96c3fd29f user=- room=- | HTTP POST /auth/logout/
2025-10-31 23:35:01,071 | INFO | apps.http | req=9df96c3fd29f user=- room=- | HTTP POST /auth/logout/ -> 401 (0 ms)
2025-10-31 23:35:01,465 | DEBUG | apps.http | req=340caf92abff user=- room=- | HTTP DELETE /auth/profile/
2025-10-31 23:35:01,466 | WARNING | apps.users | req=340caf92abff user=- room=- | AUTH profile delete user_id=1
2025-10-31 23:35:01,468 | INFO | apps.http | req=340caf92abff user=- room=- | HTTP DELETE /auth/profile/ -> 204 (2 ms)
2025-10-31 23:35:01,874 | DEBUG | apps.http | req=be5d47168374 user=- room=- | HTTP DELETE /auth/profile/
2025-10-31 23:35:01,875 | INFO | apps.http | req=be5d47168374 user=- room=- | HTTP DELETE /auth/profile/ -> 401 (0 ms)
2025-10-31 23:35:02,273 | DEBUG | apps.http | req=a0d95f33bf07 user=- room=- | HTTP GET /auth/profile/
2025-10-31 23:35:02,274 | INFO | apps.http | req=a0d95f33bf07 user=- room=- | HTTP GET /auth/profile/ -> 200 (1 ms)
2025-10-31 23:35:02,785 | DEBUG | apps.http | req=88e62dc91576 user=- room=- | HTTP GET /auth/profile/
2025-10-31 23:35:02,785 | INFO | apps.http | req=88e62dc91576 user=- room=- | HTTP GET /auth/profile/ -> 401 (0 ms)
2025-10-31 23:35:03,192 | DEBUG | apps.http | req=7fd36bec368e user=- room=- | HTTP PUT /auth/profile/
2025-10-31 23:35:03,193 | DEBUG | apps.users | req=7fd36bec368e user=- room=- | AUTH profile update user_id=1
